sector,region,source,name,phone,website,query,url,notes
tourismus,Davos,search.ch,"Grischa - DAS Hotel Davos","081 414 97 97","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"Kongress Hotel Davos","081 417 11 22","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"AMERON Mountain Hotel Davos","081 544 19 19","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"Club Hotel Davos","081 414 91 00","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"Cresta Hotels Davos AG","081 417 16 16","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"InterContinental Davos","081 414 04 00","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"Davos Klosters Bergbahnen AG","081 417 62 22","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Davos,search.ch,"Hotel Seehof Davos","081 417 94 44","","hotel davos","https://search.ch/tel/?was=hotel%20davos","Verify manually. Respect source terms and outreach laws."
tourismus,Graubuenden,search.ch,"Graubünden Ferien","081 254 24 24","","tourismus graubuenden","https://search.ch/tel/?was=tourismus%20graubuenden","Verify manually. Respect source terms and outreach laws."
tourismus,Graubuenden,search.ch,"Fachhochschule Graubünden","081 286 24 24","https://www.fhgr.ch/","tourismus graubuenden","https://search.ch/tel/?was=tourismus%20graubuenden","Verify manually. Respect source terms and outreach laws."
tourismus,Graubuenden,search.ch,"Administraziun communala","081 920 25 00","http://www.sumvitg.ch/","tourismus graubuenden","https://search.ch/tel/?was=tourismus%20graubuenden","Verify manually. Respect source terms and outreach laws."
tourismus,Graubuenden,search.ch,"ABC Translation","079 603 93 80","https://www.agence-de-traduction.ch/","tourismus graubuenden","https://search.ch/tel/?was=tourismus%20graubuenden","Verify manually. Respect source terms and outreach laws."
